playerID,year,tmID,team_prev_rank,college,college_count_before,rookie
baranel01w,2,9,6,0,0,0
moorena01w,8,10,7,1,0,0
jacksde01w,3,3,1,2,0,0
bristre01w,2,1,8,3,0,0
ibekwif01w,11,17,2,3,1,0
ambermo01w,3,15,2,4,0,0
januabr01w,10,7,4,4,1,0
williwe01w,2,8,1,5,0,0
chrissh01w,5,11,6,5,1,0
ervinla01w,10,4,2,5,2,0
reedch01w,11,18,0,6,0,0
youngca01w,2,14,7,7,0,0
stevema01w,5,16,6,7,1,0
willile01w,5,4,3,7,2,0
boddiwh01w,10,15,4,7,3,0
bonnede01w,10,13,6,7,4,0
oheaje01w,11,8,3,8,0,0
crockda01w,3,19,3,9,0,0
lambesh01w,3,1,4,9,1,0
youngso01w,7,16,7,9,2,0
mosbybe01w,8,20,4,9,3,0
jacobam01w,5,10,4,10,0,0
queenbr01w,7,4,1,10,1,0
swordca01w,11,2,5,10,2,0
thorner01w,4,11,1,11,0,0
anderam01w,7,4,1,11,1,0
stafftr01w,2,6,2,12,0,0
walkeas01w,10,17,2,12,1,0
graylal01w,11,13,1,12,2,0
sharpkb01w,4,11,1,13,0,0
umoh-it01w,4,6,2,14,0,0
bjorkte01w,5,1,2,15,0,0
cronika01w,7,2,0,16,0,0
abrossv01w,2,10,6,17,0,0
lobore01w,2,11,1,17,1,0
schumke01w,2,7,7,17,2,0
birdsu01w,3,17,8,17,3,0
cashsw01w,3,5,7,17,4,0
jonesas01w,3,20,8,17,5,0
tauradi01w,5,13,7,17,6,1
battlas01w,6,17,2,17,7,0
mooreje01w,6,1,5,17,8,0
strotan01w,7,13,5,17,9,0
turneba01w,7,17,2,17,10,0
crockwi01w,9,13,1,17,11,0
houstch01w,9,10,6,17,12,0
swanike01w,9,4,3,17,13,0
montgre01w,10,10,7,17,14,0
charlti01w,11,4,6,17,15,0
greenka01w,11,4,6,17,16,0
moorema01w,11,10,5,17,17,0
alhalta01w,2,12,3,18,0,0
willile02w,3,5,7,18,1,0
udokamf01w,4,6,2,18,2,0
quiglal01w,9,13,1,18,3,0
chestfe01w,11,11,7,18,4,0
smithty01w,8,5,2,19,0,0
pavlimi01w,2,19,5,20,0,0
schwege01w,2,10,6,21,0,0
beardal01w,5,20,7,21,1,0
tilliic01w,5,5,1,21,2,0
currimo01w,7,1,6,21,3,0
balesal01w,8,7,3,21,4,0
hardili01w,8,10,7,21,5,0
smithwa01w,9,5,1,21,6,0
blackch01w,10,4,2,21,7,0
cheekjo01w,11,20,4,21,8,0
chriska02w,11,18,0,21,9,0
chriska02w,11,20,4,21,10,0
thomaja01w,11,20,4,21,11,0
thomakr01w,11,13,1,21,12,0
thomakr01w,11,17,2,21,13,0
futreca01w,5,4,3,22,0,0
stockta01w,2,20,4,23,0,0
mccaibr01w,3,3,1,23,1,0
haydeva01w,5,10,4,23,2,0
slavtge01w,4,13,7,24,0,0
torrele01w,2,9,6,25,0,0
wyckobr01w,2,12,3,25,1,0
hodgero01w,6,6,6,25,2,0
davista02w,10,5,1,25,3,0
millebr01w,10,5,1,25,4,0
monroja01w,11,18,0,25,5,0
derevje01w,5,4,3,26,0,0
aguilel01w,3,19,3,27,0,0
joensca01w,8,2,7,27,1,0
beckki01w,9,17,4,27,2,0
montaan01w,10,10,7,27,3,0
adairje01w,11,10,5,27,4,0
brunsre01w,5,15,3,28,0,0
fordst01w,2,11,1,29,0,0
milleco01w,2,20,4,29,1,0
milleke01w,2,1,8,29,2,0
nolande01w,2,5,5,29,3,0
brownki01w,3,20,8,29,4,0
hendetr01w,3,3,1,29,5,0
edwarte01w,4,10,8,29,6,0
thomach01w,5,8,1,29,7,0
braxtka01w,6,5,3,29,8,0
bakersh01w,7,11,3,29,9,0
chambco01w,8,4,1,29,10,0
humphta01w,9,5,1,29,11,0
phillpo01w,11,16,4,29,12,0
malloso01w,4,13,7,30,0,0
terryka01w,7,7,2,30,1,0
nnamach01w,9,0,0,30,2,0
montgal01w,11,11,7,30,3,0
vandeco01w,11,2,5,31,0,0
sandeam01w,8,5,2,32,0,0
luckepa01w,2,13,4,33,0,0
jonesch01w,5,5,1,33,1,0
lyttlsa01w,6,6,6,33,2,0
gardnan01w,3,19,3,34,0,0
willian01w,6,13,5,35,0,0
cironkr01w,10,4,2,36,0,0
chapmji01w,3,5,7,37,0,0
weberma01w,8,11,5,38,0,0
consuca01w,2,19,5,39,0,0
smithcr01w,7,13,5,39,1,0
wilkibr01w,7,15,1,40,0,0
youngta01w,9,0,0,41,0,0
johnsja01w,2,12,3,42,0,0
sanfona01w,4,20,3,42,1,0
mccrada01w,11,4,6,42,2,0
ohldeni01w,5,10,4,43,0,0
koehnla01w,6,20,4,43,1,0
weckeke01w,6,16,7,43,2,0
mahonme01w,7,4,1,43,3,0
coggicl01w,8,2,7,43,4,0
lehnish01w,10,0,7,43,5,0
dunlavi01w,11,20,4,44,0,0
frazeme01w,10,16,1,45,0,0
mooreja01w,3,7,6,46,0,0
ferdima01w,2,19,5,47,0,0
smithai01w,4,20,3,47,1,0
carteam01w,5,5,1,47,2,0
hodgedo01w,5,8,1,47,3,0
whitede01w,5,11,6,47,4,0
johnste01w,6,20,4,47,5,1
augusse01w,7,10,6,47,6,1
chanequ01w,9,2,6,47,7,0
fowlesy01w,9,2,6,47,8,0
whiteer01w,9,6,5,47,9,0
hightal01w,11,4,6,47,10,0
lewista01w,3,17,8,48,0,0
walkeay01w,3,5,7,48,1,0
fordch01w,4,5,8,48,2,1
friertr01w,5,17,5,48,3,0
mccouan01w,10,0,7,49,0,1
doronsh01w,8,11,5,50,0,0
harpela01w,9,15,3,50,1,0
langhcr01w,9,20,5,50,2,0
colemma01w,10,20,6,50,3,0
