year,tmID,confID,rank,playoff,firstRound,semis,finals,prev_win_pct,made_playoffs,prev_coach_win_pct,PrevPerformance,PrevOffPerformance,PrevDefPerformance,Performance_weighted_2yr,OffPerformance_weighted_2yr,DefPerformance_weighted_2yr,Performance_weighted_3yr,OffPerformance_weighted_3yr,DefPerformance_weighted_3yr,Performance_weighted_4yr,OffPerformance_weighted_4yr,DefPerformance_weighted_4yr
9,ATL,0,7.0,0,0,0,0,0.0,0.0,0.0,-0.6983488149742881,-0.49765369667623865,-1.063588498788604,-0.7531839450624901,-0.5282401920509294,-1.1904963367654733,-1.0875565639036857,-0.9477442757329192,-1.2654002488303282,-1.0082414351686937,-0.9313227711780729,-1.1069478297116542
10,ATL,0,2.0,1,0,0,0,0.11764705882352941,0.0,0.11764705882352941,-0.1277069007989802,-0.3969528417643532,-0.027901849857356647,0.3151557744499606,0.21502973886051613,0.22836777285280926,-0.03095208302758486,-0.14249330582320183,-0.020567759848232864,-0.15140109323280063,-0.18217343882663786,-0.1305210334588843
11,ATL,0,,0,0,0,0,0.5294117647058824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CHA,0,8.0,0,0,0,0,0.0,0.0,0.0,-0.3229206455700841,-0.3451846805871109,-0.2842012684727698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CHA,0,4.0,1,1,1,0,0.25,0.0,0.28125,0.17467038670037963,0.5626648900796078,-0.5941215871923532,-0.5549617310280496,-0.5362544073291724,-0.5226795385343065,0.0,0.0,0.0,0.0,0.0,0.0
3,CHA,0,2.0,1,0,0,0,0.5625,1.0,0.421875,0.09824553159229467,0.26106097091286967,-0.46803818477509157,0.07803827181779,0.36967354027134325,-0.5713327506343575,0.5042110189746352,0.7590335670487798,-0.33944378463730834,0.0,0.0,0.0
4,CHA,0,2.0,1,0,0,0,0.5625,1.0,0.0,0.529709612297293,0.8608280695290924,-0.19167693401989996,1.0333869832449911,1.2547850823075006,0.549502308860462,0.38447334756736656,0.585200076153911,0.03514915062456536,-0.9540857755700646,-0.9323835675531198,-0.9246094095583293
5,CHA,0,5.0,0,0,0,0,0.5294117647058824,1.0,0.5294117647058824,-1.0939063763917594,-1.0562123030188033,-1.2660653911631108,-0.5907024018473604,-0.5068353277872717,-0.9432210967211405,0.451305420123829,0.5548285291964993,-0.07699859574492164,-0.3582662077654284,-0.09966817538265124,-0.7234683541369955
6,CHA,0,6.0,0,0,0,0,0.47058823529411764,0.0,0.5,-0.368068359022269,-0.1975911312461418,-0.7090844656102412,0.06854972133198624,0.3055310550640694,-0.3112335699903677,0.22870296020073858,0.4469594889339666,-0.14373353490173085,0.919358897273548,1.0865647572780972,0.4908935863219733
7,CHA,0,6.0,0,0,0,0,0.17647058823529413,0.0,0.3,-0.6754963047400185,-1.1494074157469116,-0.028884336876808032,-0.3612665715329315,-0.6139469002070914,-0.07263360690764643,0.06175705265036019,-0.10933105184033068,0.19614891842083088,0.4803853612704312,0.36852886534169343,0.5344377100894997
7,CHI,0,7.0,0,0,0,0,0.0,0.0,0.0,-1.2398783238777846,-1.256656699785907,-1.3088237107573475,-0.7552294237998186,-0.7809339301569811,-0.9127781743883109,-0.6462074630614875,-0.6052872677649771,-0.9048325634069282,-0.9734054921515984,-0.9972283708505052,-1.1030820637731107
8,CHI,0,6.0,0,0,0,0,0.14705882352941177,0.0,0.0,-1.2846796284579483,-1.1958980522163645,-1.2161307896773177,-1.8520001861156759,-1.8358403107527284,-1.8401440777963993,-1.5220697964647394,-1.5436958241662184,-1.5352965291073397,-1.2852585233281937,-1.2671418032494355,-1.4413144551271666
9,CHI,0,5.0,0,0,0,0,0.4117647058823529,0.0,0.0,-0.061186914262466426,-0.20563154876761044,0.3057706751821528,-1.0359401167515818,-1.23456974893896,-0.558843000165597,-1.2065415548846663,-1.2644106675436553,-1.0476694057226958,-0.5483124619304669,-0.5608855267032233,-0.5428088514949695
10,CHI,0,5.0,0,0,0,0,0.35294117647058826,0.0,0.35294117647058826,-0.7007852730265329,-0.7582680896180835,-0.1641631224028389,-0.2244896451404016,-0.08460402147997173,-0.3148266888344053,-0.33196857711492717,-0.16713032914614426,-0.4703159809544273,-1.0293633548807153,-0.8241426849986808,-1.2679220599475935
11,CHI,0,,0,0,0,0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CLE,0,2.0,1,1,0,0,0.0,0.0,0.0,0.7905988219129645,1.264137378700952,-0.41267801443898705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CLE,0,1.0,1,0,0,0,0.53125,1.0,0.53125,0.23322399650596876,0.4919028545137299,-0.22514699167087215,1.9126451444501824,1.9441122784498694,1.0750436127398766,0.0,0.0,0.0,0.0,0.0,0.0
3,CLE,0,7.0,0,0,0,0,0.6875,1.0,0.609375,-0.7613006148598527,-0.7548815731273868,-0.3393076236910789,-0.13056468395738066,-0.09270214896789422,-0.12406559820127724,-1.2097759265340318,-1.1925403099537442,-1.1015304912262605,0.0,0.0,0.0
4,CLE,0,4.0,1,0,0,0,0.3125,0.0,0.5104166666666666,0.16375745193842553,0.24403585185292748,-0.2515514902542983,-0.11215201128803977,-0.12150118802755626,-0.16967120033696492,-0.437429771257333,-0.3935900415078144,-0.6302176105816235,0.7220922607507865,0.7244444560802463,0.21283223039284116
4,CON,0,3.0,1,1,0,0,0.0,0.0,0.0,1.5414237698300786,1.2702100192101349,1.8006304330575114,1.7709890581957937,1.5488448011999842,2.1320947511536366,1.0386202857331441,0.813326256931862,1.457698487108982,1.4961577425480488,1.490564970139045,1.510159487892078
5,CON,0,1.0,1,1,1,0,0.5294117647058824,1.0,0.5294117647058824,-1.305986123932381,-1.1000778758919092,-1.4297938292962253,-0.4419233112686766,-0.44466343375101675,-0.3999782068306148,-0.04959853567069117,-0.21093194393771938,0.4082038746343058,0.19613904336068466,0.035094472713266836,0.45848987382369283
